Country,Year,Primary,Secondary,Tertiary,Region
,1935,"92,15","1,55","1,73","Advanced Economies"
,1940,"94,77","2,49","1,16","Advanced Economies"
,1945,"97,38","3,94","3,83","Advanced Economies"
,1950,100,"6,12","0,93","Advanced Economies"
,1955,100,"15,19","0,76","Advanced Economies"
,1960,"91,49",45,"3,8","Advanced Economies"
,1965,"91,49","47,76","4,44","Advanced Economies"
,1970,"89,74","67,04",7,"Advanced Economies"
,1975,88,"68,88","14,4","Advanced Economies"
,1980,88,"69,8","20,3","Advanced Economies"
,1985,86,"74,39","24,3","Advanced Economies"
,1990,91,90,"32,8","Advanced Economies"
,1995,"97,97","95,95","46,8","Advanced Economies"
,2000,100,"93,65",59,"Advanced Economies"
,2005,"98,93","97,55",51,"Advanced Economies"
,2010,"97,86","96,74",74,"Advanced Economies"
,,,,,
,,,,,
,,,,,
,,,,,
Belgium,1820,"6,26",0,0,"Advanced Economies"
,1825,"7,15",0,0,"Advanced Economies"
,1830,"8,16",0,0,"Advanced Economies"
,1835,"9,29",0,0,"Advanced Economies"
,1840,"10,56",0,0,"Advanced Economies"
,1845,"11,98",0,0,"Advanced Economies"
,1850,"13,57",0,0,"Advanced Economies"
,1855,"15,33",0,0,"Advanced Economies"
,1860,"17,27",0,0,"Advanced Economies"
,1865,"19,4","0,01",0,"Advanced Economies"
,1870,"21,73","0,01",0,"Advanced Economies"
,1875,"24,25","0,02",0,"Advanced Economies"
,1880,"26,97","0,04","0,01","Advanced Economies"
,1885,"29,87","0,06","0,01","Advanced Economies"
,1890,"55,21","0,1","0,01","Advanced Economies"
,1895,"61,99","0,16","0,02","Advanced Economies"
,1900,"74,1","0,24","0,03","Advanced Economies"
,1905,"73,79","0,37","0,04","Advanced Economies"
,1910,"77,68","0,57","0,05","Advanced Economies"
,1915,"79,39","0,86","0,07","Advanced Economies"
,1920,"81,11","1,31","0,09","Advanced Economies"
,1925,"82,82","1,96","0,13","Advanced Economies"
,1930,"84,53","2,92","0,18","Advanced Economies"
,1935,"86,25","4,32","0,25","Advanced Economies"
,1940,"87,96","6,32","0,35","Advanced Economies"
,1945,"89,67","9,14","0,72","Advanced Economies"
,1950,"91,39","22,15","0,55","Advanced Economies"
,1955,"87,25","31,33","2,7","Advanced Economies"
,1960,100,62,"4,84","Advanced Economies"
,1965,100,66,"9,97","Advanced Economies"
,1970,"97,83","72,65",13,"Advanced Economies"
,1975,"97,46","75,38","18,1","Advanced Economies"
,1980,98,"80,83","23,2","Advanced Economies"
,1985,95,89,30,"Advanced Economies"
,1990,97,88,"39,6","Advanced Economies"
,1995,"85,68","86,07","54,8","Advanced Economies"
,2000,"97,07",100,61,"Advanced Economies"
,2005,"97,98",100,68,"Advanced Economies"
,2010,100,"98,42",75,"Advanced Economies"
,,,,,
,,,,,
,,,,,
,,,,,
Canada,1820,"36,41","0,09",0,"Advanced Economies"
,1825,"39,76","0,11",0,"Advanced Economies"
,1830,"43,21","0,14",0,"Advanced Economies"
,1835,"46,74","0,18",0,"Advanced Economies"
,1840,"50,3","0,23",0,"Advanced Economies"
,1845,"53,86","0,29",0,"Advanced Economies"
,1850,"57,39","0,37",0,"Advanced Economies"
,1855,"60,85","0,47",0,"Advanced Economies"
,1860,"64,21","0,6",0,"Advanced Economies"
,1865,"67,45","0,76",0,"Advanced Economies"
,1870,"70,54","0,97",0,"Advanced Economies"
,1875,"73,46","1,23",0,"Advanced Economies"
,1880,"76,2","1,56",0,"Advanced Economies"
,1885,"78,74","1,98","0,08","Advanced Economies"
,1890,"62,3","2,52","0,15","Advanced Economies"
,1895,"45,85","3,19","0,24","Advanced Economies"
,1900,"42,05","4,03","0,4","Advanced Economies"
,1905,"47,3","5,08","0,64","Advanced Economies"
,1910,"67,09","6,39","1,01","Advanced Economies"
,1915,"67,51","5,22","1,57","Advanced Economies"
,1920,"70,87","4,05","2,4","Advanced Economies"
,1925,"74,22","11,65","3,63","Advanced Economies"
,1930,"77,58","19,25","5,42","Advanced Economies"
,1935,"80,93","20,74","5,03","Advanced Economies"
,1940,"84,29","22,1","4,96","Advanced Economies"
,1945,"87,65","24,74","7,88","Advanced Economies"
,1950,91,"21,41","2,38","Advanced Economies"
,1955,"94,36","28,52","2,51","Advanced Economies"
,1960,72,"39,3","12,3","Advanced Economies"
,1965,69,"45,55","20,1","Advanced Economies"
,1970,93,"58,06","27,9","Advanced Economies"
,1975,"92,16","82,17","35,3","Advanced Economies"
,1980,"93,18","80,39","38,5","Advanced Economies"
,1985,97,92,"77,7","Advanced Economies"
,1990,98,93,100,"Advanced Economies"
,1995,"93,38","93,89","98,3","Advanced Economies"
,2000,100,"95,34",68,"Advanced Economies"
,2005,100,"96,51","62,26","Advanced Economies"
,2010,100,"97,45","69,99","Advanced Economies"
,,,,,
,,,,,
,,,,,
,,,,,
Denmark,1820,"65,37","0,01",0,"Advanced Economies"
,1825,"67,04","0,01",0,"Advanced Economies"
,1830,"68,66","0,01",0,"Advanced Economies"
,1835,"70,25","0,01",0,"Advanced Economies"
,1840,"71,79","0,02","0,01","Advanced Economies"
,1845,"73,28","0,02","0,01","Advanced Economies"
,1850,"74,73","0,03","0,01","Advanced Economies"
,1855,"76,12","0,03","0,01","Advanced Economies"
,1860,"77,47","0,04","0,01","Advanced Economies"
,1865,"78,76","0,06","0,01","Advanced Economies"
,1870,80,"0,07","0,02","Advanced Economies"
,1875,"81,25","0,1","0,02","Advanced Economies"
,1880,"82,5","0,13","0,03","Advanced Economies"
,1885,"83,75","0,16","0,03","Advanced Economies"
,1890,85,"0,21","0,04","Advanced Economies"
,1895,"86,25","0,28","0,05","Advanced Economies"
,1900,"87,5","0,36","0,06","Advanced Economies"
,1905,"88,75","0,47","0,07","Advanced Economies"
,1910,90,"0,61","0,08","Advanced Economies"
,1915,"91,25","0,79","0,1","Advanced Economies"
,1920,"92,5","1,03","0,13","Advanced Economies"
,1925,"93,75","1,33","0,54","Advanced Economies"
,1930,95,"1,73","0,67","Advanced Economies"
,1935,"96,25","2,22","0,83","Advanced Economies"
,1940,"97,5","3,08","1,04","Advanced Economies"
,1945,"98,75","13,63","1,29","Advanced Economies"
,1950,100,"23,43","1,64","Advanced Economies"
,1955,100,"23,68","1,86","Advanced Economies"
,1960,100,"35,2","6,6","Advanced Economies"
,1965,100,44,"9,9","Advanced Economies"
,1970,97,"54,4","13,8","Advanced Economies"
,1975,100,"62,4","26,7","Advanced Economies"
,1980,95,"83,2","28,6","Advanced Economies"
,1985,98,84,"29,5","Advanced Economies"
,1990,96,88,39,"Advanced Economies"
,1995,99,"97,6","51,1","Advanced Economies"
,2000,100,100,66,"Advanced Economies"
,2005,99,100,93,"Advanced Economies"
,2010,100,100,87,"Advanced Economies"
,,,,,
,,,,,
,,,,,
,,,,,
Finland,1820,"1,19","0,02",0,"Advanced Economies"
,1825,"1,46","0,03",0,"Advanced Economies"
,1830,"1,79","0,04","0,01","Advanced Economies"
,1835,"2,19","0,05","0,01","Advanced Economies"
,1840,"2,68","0,07","0,01","Advanced Economies"
,1845,"3,34","0,09","0,01","Advanced Economies"
,1850,"4,07","0,11","0,01","Advanced Economies"
,1855,"4,94","0,15","0,02","Advanced Economies"
,1860,6,"0,19","0,02","Advanced Economies"
,1865,"7,26","0,24","0,03","Advanced Economies"
,1870,"8,77","0,31","0,03","Advanced Economies"
,1875,"10,55","0,4","0,04","Advanced Economies"
,1880,"17,65","0,52","0,06","Advanced Economies"
,1885,"24,75","0,67","0,07","Advanced Economies"
,1890,"21,07","0,86","0,09","Advanced Economies"
,1895,"29,5","1,11","0,12","Advanced Economies"
,1900,"37,94","1,38","0,15","Advanced Economies"
,1905,"46,37","1,73","0,19","Advanced Economies"
,1910,"50,7","2,16","0,24","Advanced Economies"
,1915,"56,86","3,3","0,31","Advanced Economies"
,1920,"63,02","4,22","0,4","Advanced Economies"
,1925,"69,19","5,37","0,5","Advanced Economies"
,1930,"75,35","6,82","0,64","Advanced Economies"
,1935,"81,51","8,63","0,72","Advanced Economies"
,1940,"87,67","10,86","0,71","Advanced Economies"
,1945,"93,84","13,59","1,34","Advanced Economies"
,1950,100,"16,87","1,4","Advanced Economies"
,1955,100,"22,43","1,86","Advanced Economies"
,1960,95,"58,47","6,98","Advanced Economies"
,1965,100,"58,47","11,2","Advanced Economies"
,1970,79,"78,46","13,3","Advanced Economies"
,1975,88,"63,65","18,7","Advanced Economies"
,1980,83,"70,31","31,7","Advanced Economies"
,1985,100,"81,42",34,"Advanced Economies"
,1990,98,94,52,"Advanced Economies"
,1995,100,94,"75,7","Advanced Economies"
,2000,100,100,90,"Advanced Economies"
,2005,98,100,100,"Advanced Economies"
,2010,99,100,100,"Advanced Economies"
,,,,,
,,,,,
,,,,,
,,,,,
France,1820,"11,24",0,"0,01","Advanced Economies"
,1825,"12,66",0,"0,01","Advanced Economies"
,1830,"14,22",0,"0,01","Advanced Economies"
,1835,"15,95",0,"0,01","Advanced Economies"
,1840,"17,84",0,"0,01","Advanced Economies"
,1845,"19,9",0,"0,02","Advanced Economies"
,1850,"22,14",0,"0,02","Advanced Economies"
,1855,"24,56",0,"0,02","Advanced Economies"
,1860,"27,14",0,"0,03","Advanced Economies"
,1865,"29,9",0,"0,03","Advanced Economies"
,1870,"64,95",0,"0,04","Advanced Economies"
,1875,100,"0,01","0,05","Advanced Economies"
,1880,100,"0,02","0,06","Advanced Economies"
,1885,100,"0,04","0,07","Advanced Economies"
,1890,100,"0,07","0,09","Advanced Economies"
,1895,100,"0,12","0,11","Advanced Economies"
,1900,100,"0,2","0,13","Advanced Economies"
,1905,100,"0,33","0,15","Advanced Economies"
,1910,100,"0,54","0,19","Advanced Economies"
,1915,100,"0,87","0,23","Advanced Economies"
,1920,100,"1,37","0,96","Advanced Economies"
,1925,100,"2,14","1,19","Advanced Economies"
,1930,100,"3,31","1,46","Advanced Economies"
,1935,100,"5,06","1,66","Advanced Economies"
,1940,100,"7,62","2,01","Advanced Economies"
,1945,100,"11,28","3,22","Advanced Economies"
,1950,100,"16,34","1,5","Advanced Economies"
,1955,100,"20,78","2,34","Advanced Economies"
,1960,97,45,"6,19","Advanced Economies"
,1965,98,53,"12,2","Advanced Economies"
,1970,98,70,"14,8","Advanced Economies"
,1975,"94,75","77,74","23,8","Advanced Economies"
,1980,100,"81,88","26,8","Advanced Economies"
,1985,98,87,"30,3","Advanced Economies"
,1990,100,85,"42,8","Advanced Economies"
,1995,"99,75","98,79","57,2","Advanced Economies"
,2000,"99,84","97,37",63,"Advanced Economies"
,2005,100,100,60,"Advanced Economies"
,2010,100,100,62,"Advanced Economies"
,,,,,
,,,,,
,,,,,
,,,,,
Germany,1820,"20,71",0,0,"Advanced Economies"
,1825,"23,09",0,0,"Advanced Economies"
,1830,"25,66",0,0,"Advanced Economies"
,1835,"28,41",0,0,"Advanced Economies"
,1840,"31,34",0,0,"Advanced Economies"
,1845,"34,42",0,0,"Advanced Economies"
,1850,"37,65",0,0,"Advanced Economies"
,1855,"40,99",0,0,"Advanced Economies"
,1860,"44,41",0,0,"Advanced Economies"
,1865,"47,9",0,0,"Advanced Economies"
,1870,"51,03",0,0,"Advanced Economies"
,1875,"54,16",0,0,"Advanced Economies"
,1880,"54,96",0,0,"Advanced Economies"
,1885,"60,02",0,0,"Advanced Economies"
,1890,"59,12",0,0,"Advanced Economies"
,1895,"58,22",0,0,"Advanced Economies"
,1900,"56,93",0,0,"Advanced Economies"
,1905,"59,14",0,0,"Advanced Economies"
,1910,"88,76","0,24","0,01","Advanced Economies"
,1915,"90,09","0,7","0,02","Advanced Economies"
,1920,"91,42","1,5","0,04","Advanced Economies"
,1925,"92,76","2,87","0,07","Advanced Economies"
,1930,"94,09","5,08","0,11","Advanced Economies"
,1935,"95,42","8,53","0,18","Advanced Economies"
,1940,"96,76","13,63","0,28","Advanced Economies"
,1945,"98,09","28,63","0,43","Advanced Economies"
,1950,"99,42","43,62","0,65","Advanced Economies"
,1955,"78,7","72,48","0,91","Advanced Economies"
,1960,100,"40,35","2,85","Advanced Economies"
,1965,100,"43,52","4,32","Advanced Economies"
,1970,"83,84","28,48","7,4","Advanced Economies"
,1975,92,"33,23",19,"Advanced Economies"
,1980,83,"38,77","22,3","Advanced Economies"
,1985,82,72,"25,6","Advanced Economies"
,1990,90,85,"27,8","Advanced Economies"
,1995,100,"98,94","41,3","Advanced Economies"
,2000,100,"93,61","47,2","Advanced Economies"
,2005,100,"96,55","53,1","Advanced Economies"
,2010,100,100,59,"Advanced Economies"
,,,,,
,,,,,
,,,,,
,,,,,
Greece,1820,"0,72",0,0,"Advanced Economies"
,1825,"0,9",0,0,"Advanced Economies"
,1830,"1,14",0,0,"Advanced Economies"
,1835,"1,43",0,0,"Advanced Economies"
,1840,"1,8",0,0,"Advanced Economies"
,1845,"2,26",0,0,"Advanced Economies"
,1850,"2,84",0,0,"Advanced Economies"
,1855,"3,56","0,01",0,"Advanced Economies"
,1860,"4,45","0,01",0,"Advanced Economies"
,1865,"5,56","0,02",0,"Advanced Economies"
,1870,"6,92","0,02",0,"Advanced Economies"
,1875,"7,58","0,04",0,"Advanced Economies"
,1880,"8,24","0,06",0,"Advanced Economies"
,1885,"8,91","0,09","0,01","Advanced Economies"
,1890,"9,57","0,14","0,01","Advanced Economies"
,1895,"13,31","0,21","0,01","Advanced Economies"
,1900,"17,05","0,32","0,02","Advanced Economies"
,1905,"29,51","0,47","0,02","Advanced Economies"
,1910,"33,51","0,7","0,03","Advanced Economies"
,1915,"41,47","1,03","0,05","Advanced Economies"
,1920,"49,43","1,51","0,07","Advanced Economies"
,1925,"57,39","2,19","0,09","Advanced Economies"
,1930,"65,35","3,17","0,12","Advanced Economies"
,1935,"73,31","4,56","0,2","Advanced Economies"
,1940,"81,26","6,49","0,23","Advanced Economies"
,1945,"89,22","9,14","0,66","Advanced Economies"
,1950,"97,18","12,71","1,08","Advanced Economies"
,1955,"78,73","14,4","1,5","Advanced Economies"
,1960,"97,18","25,23","1,92","Advanced Economies"
,1965,99,37,"6,23","Advanced Economies"
,1970,97,48,"8,8","Advanced Economies"
,1975,97,59,"14,2","Advanced Economies"
,1980,97,"67,53","14,6","Advanced Economies"
,1985,100,80,"24,8","Advanced Economies"
,1990,94,88,"25,4","Advanced Economies"
,1995,94,"92,16","42,3","Advanced Economies"
,2000,96,"89,09",53,"Advanced Economies"
,2005,100,"99,74",97,"Advanced Economies"
,2010,100,100,"97,94","Advanced Economies"
,,,,,
,,,,,
,,,,,
,,,,,
Iceland,1820,"0,38","0,04",0,"Advanced Economies"
,1825,"0,48","0,05",0,"Advanced Economies"
,1830,"0,62","0,06",0,"Advanced Economies"
,1835,"0,78","0,08",0,"Advanced Economies"
,1840,1,"0,1",0,"Advanced Economies"
,1845,"1,27","0,12",0,"Advanced Economies"
,1850,"1,62","0,15",0,"Advanced Economies"
,1855,"2,06","0,18",0,"Advanced Economies"
,1860,"2,61","0,22",0,"Advanced Economies"
,1865,"3,31","0,28",0,"Advanced Economies"
,1870,"4,18","0,34",0,"Advanced Economies"
,1875,"5,28","0,42",0,"Advanced Economies"
,1880,"6,64","0,51",0,"Advanced Economies"
,1885,"8,33","0,63",0,"Advanced Economies"
,1890,"10,39","0,78","0,01","Advanced Economies"
,1895,"12,9","0,95","0,01","Advanced Economies"
,1900,"15,91","1,17","0,01","Advanced Economies"
,1905,"19,46","3,26","0,02","Advanced Economies"
,1910,"23,58","4,08","0,03","Advanced Economies"
,1915,"28,28","5,09","0,04","Advanced Economies"
,1920,"33,5","6,34","0,06","Advanced Economies"
,1925,"39,17","7,87","0,08","Advanced Economies"
,1930,"45,16","9,73","0,12","Advanced Economies"
,1935,"51,3","11,97","0,09","Advanced Economies"
,1940,"57,42","14,65","0,32","Advanced Economies"
,1945,"63,34","17,81","0,42","Advanced Economies"
,1950,"68,91","21,48","0,95","Advanced Economies"
,1955,74,"25,67","1,47","Advanced Economies"
,1960,74,"47,84","3,36","Advanced Economies"
,1965,74,"57,46","4,64","Advanced Economies"
,1970,"74,72","69,77","5,3","Advanced Economies"
,1975,"71,13","65,72","11,5","Advanced Economies"
,1980,"71,84","71,47","19,9","Advanced Economies"
,1985,"71,13","77,91","23,8","Advanced Economies"
,1990,90,"77,17","28,9","Advanced Economies"
,1995,"69,69","88,45","41,9","Advanced Economies"
,2000,100,86,57,"Advanced Economies"
,2005,97,90,93,"Advanced Economies"
,2010,99,90,100,"Advanced Economies"
,,,,,
,,,,,
,,,,,
,,,,,
Ireland,1820,"11,87","0,02","0,01","Advanced Economies"
,1825,"13,26","0,02","0,01","Advanced Economies"
,1830,"14,77","0,03","0,01","Advanced Economies"
,1835,"16,43","0,03","0,01","Advanced Economies"
,1840,"18,23","0,04","0,02","Advanced Economies"
,1845,"20,18","0,06","0,02","Advanced Economies"
,1850,"22,29","0,08","0,02","Advanced Economies"
,1855,"24,55","0,1","0,03","Advanced Economies"
,1860,"26,96","0,13","0,04","Advanced Economies"
,1865,"29,51","0,16","0,05","Advanced Economies"
,1870,"33,66","0,21","0,06","Advanced Economies"
,1875,"37,81","0,27","0,07","Advanced Economies"
,1880,"41,95","0,35","0,09","Advanced Economies"
,1885,"46,1","0,46","0,11","Advanced Economies"
,1890,"50,25","0,59","0,14","Advanced Economies"
,1895,"54,39","0,76","0,17","Advanced Economies"
,1900,"58,54","0,99","0,21","Advanced Economies"
,1905,"62,68","1,28","0,26","Advanced Economies"
,1910,"66,83","1,65","0,33","Advanced Economies"
,1915,"70,98","2,12","0,4","Advanced Economies"
,1920,"75,12","2,73","0,5","Advanced Economies"
,1925,"79,27","3,51","0,63","Advanced Economies"
,1930,"83,42","4,5","0,78","Advanced Economies"
,1935,"87,56","7,96","0,78","Advanced Economies"
,1940,"91,71","5,53","0,71","Advanced Economies"
,1945,"95,85","9,26",1,"Advanced Economies"
,1950,100,"14,2","0,63","Advanced Economies"
,1955,100,"17,71","0,93","Advanced Economies"
,1960,"96,34","30,72","5,19","Advanced Economies"
,1965,92,48,"7,46","Advanced Economies"
,1970,92,66,"9,5","Advanced Economies"
,1975,91,77,"13,6","Advanced Economies"
,1980,91,80,"16,9","Advanced Economies"
,1985,"88,78","80,66","19,8","Advanced Economies"
,1990,91,82,"27,7","Advanced Economies"
,1995,91,"92,93",40,"Advanced Economies"
,2000,"99,46",100,55,"Advanced Economies"
,2005,100,100,63,"Advanced Economies"
,2010,100,100,73,"Advanced Economies"
,,,,,
,,,,,
,,,,,
,,,,,
Italy,1820,"10,25",0,0,"Advanced Economies"
,1825,"11,85",0,0,"Advanced Economies"
,1830,"13,66",0,0,"Advanced Economies"
,1835,"15,7",0,0,"Advanced Economies"
,1840,"17,98",0,0,"Advanced Economies"
,1845,"20,51",0,0,"Advanced Economies"
,1850,"23,3",0,0,"Advanced Economies"
,1855,"26,34",0,0,"Advanced Economies"
,1860,"29,63",0,0,"Advanced Economies"
,1865,"33,14",0,"0,01","Advanced Economies"
,1870,"43,92",0,"0,01","Advanced Economies"
,1875,"52,66",0,"0,01","Advanced Economies"
,1880,"57,14",0,"0,01","Advanced Economies"
,1885,"59,68",0,"0,01","Advanced Economies"
,1890,"61,44",0,"0,02","Advanced Economies"
,1895,"63,11",0,"0,02","Advanced Economies"
,1900,"66,03",0,"0,03","Advanced Economies"
,1905,"69,56",0,"0,04","Advanced Economies"
,1910,"76,79",0,"0,04","Advanced Economies"
,1915,"77,61","2,37","0,06","Advanced Economies"
,1920,"87,94","3,11","0,12","Advanced Economies"
,1925,"75,61","1,74","0,14","Advanced Economies"
,1930,"94,06","2,02","0,13","Advanced Economies"
,1935,"99,63","4,45","0,23","Advanced Economies"
,1940,100,"6,8","0,57","Advanced Economies"
,1945,"91,62","8,18","1,02","Advanced Economies"
,1950,"94,5","8,59","0,79","Advanced Economies"
,1955,"90,92","11,88","0,82","Advanced Economies"
,1960,100,"28,12","3,62","Advanced Economies"
,1965,"99,93","40,73","7,28","Advanced Economies"
,1970,100,"53,33","12,8","Advanced Economies"
,1975,99,64,"19,9","Advanced Economies"
,1980,"97,15","69,43","23,6","Advanced Economies"
,1985,98,71,"23,8","Advanced Economies"
,1990,"92,06","73,96","29,8","Advanced Economies"
,1995,"98,01","81,84","44,8","Advanced Economies"
,2000,100,"88,77",55,"Advanced Economies"
,2005,100,"96,74",74,"Advanced Economies"
,2010,100,"96,85",76,"Advanced Economies"
,,,,,
,,,,,
,,,,,
,,,,,
Japan,1820,"2,71",0,0,"Advanced Economies"
,1825,"3,45",0,0,"Advanced Economies"
,1830,"4,39",0,0,"Advanced Economies"
,1835,"5,56",0,0,"Advanced Economies"
,1840,"7,03",0,0,"Advanced Economies"
,1845,"8,84",0,0,"Advanced Economies"
,1850,"11,07",0,0,"Advanced Economies"
,1855,"13,78",0,0,"Advanced Economies"
,1860,"17,02",0,0,"Advanced Economies"
,1865,"20,85",0,0,"Advanced Economies"
,1870,"25,27",0,0,"Advanced Economies"
,1875,"30,28","0,13",0,"Advanced Economies"
,1880,"35,82","0,39",0,"Advanced Economies"
,1885,"57,32","0,23",0,"Advanced Economies"
,1890,"51,83","0,36",0,"Advanced Economies"
,1895,"70,48","0,37",0,"Advanced Economies"
,1900,"70,58","1,55","0,01","Advanced Economies"
,1905,"81,11","4,57","0,05","Advanced Economies"
,1910,"98,09","6,2","0,04","Advanced Economies"
,1915,100,"8,86","0,06","Advanced Economies"
,1920,100,"12,6","0,1","Advanced Economies"
,1925,100,"19,18","0,3","Advanced Economies"
,1930,100,"21,91","0,57","Advanced Economies"
,1935,100,"24,8","0,54","Advanced Economies"
,1940,100,"33,26","0,75","Advanced Economies"
,1945,100,"29,5","0,96","Advanced Economies"
,1950,"99,41","53,71","0,65","Advanced Economies"
,1955,100,"61,79","1,53","Advanced Economies"
,1960,100,"75,14","3,88","Advanced Economies"
,1965,100,81,"6,28","Advanced Economies"
,1970,99,85,"9,6","Advanced Economies"
,1975,100,"91,47",16,"Advanced Economies"
,1980,100,94,"20,2","Advanced Economies"
,1985,100,97,"19,8","Advanced Economies"
,1990,100,98,"22,9","Advanced Economies"
,1995,100,100,"36,3","Advanced Economies"
,2000,100,100,45,"Advanced Economies"
,2005,100,99,52,"Advanced Economies"
,2010,100,99,55,"Advanced Economies"
,,,,,
,,,,,
,,,,,
,,,,,
Luxembourg,1820,"0,2",0,0,"Advanced Economies"
,1825,"0,25",0,0,"Advanced Economies"
,1830,"0,32",0,0,"Advanced Economies"
,1835,"0,41",0,0,"Advanced Economies"
,1840,"0,53",0,0,"Advanced Economies"
,1845,"0,68",0,0,"Advanced Economies"
,1850,"0,86",0,0,"Advanced Economies"
,1855,"1,1",0,0,"Advanced Economies"
,1860,"1,4",0,0,"Advanced Economies"
,1865,"1,79",0,0,"Advanced Economies"
,1870,"2,27",0,0,"Advanced Economies"
,1875,"3,43",0,0,"Advanced Economies"
,1880,"4,1",0,0,"Advanced Economies"
,1885,"4,9",0,0,"Advanced Economies"
,1890,"5,85",0,0,"Advanced Economies"
,1895,"7,78",0,0,"Advanced Economies"
,1900,"9,71",0,0,"Advanced Economies"
,1905,"11,65",0,0,"Advanced Economies"
,1910,"13,58",0,0,"Advanced Economies"
,1915,"15,51","0,04",0,"Advanced Economies"
,1920,"17,44","0,06",0,"Advanced Economies"
,1925,"19,38","0,09",0,"Advanced Economies"
,1930,"35,46","0,13",0,"Advanced Economies"
,1935,"51,54","0,21",0,"Advanced Economies"
,1940,"67,63","0,29",0,"Advanced Economies"
,1945,"83,71","4,42",0,"Advanced Economies"
,1950,"99,8","7,97",0,"Advanced Economies"
,1955,"94,63","8,45","0,07","Advanced Economies"
,1960,"97,31","20,97","0,39","Advanced Economies"
,1965,100,"33,48","0,71","Advanced Economies"
,1970,96,46,"1,03","Advanced Economies"
,1975,92,56,"1,36","Advanced Economies"
,1980,93,59,"1,68","Advanced Economies"
,1985,94,66,2,"Advanced Economies"
,1990,"87,42","66,44",5,"Advanced Economies"
,1995,"87,42","66,88",8,"Advanced Economies"
,2000,"97,31","91,68",11,"Advanced Economies"
,2005,"97,1","87,1",11,"Advanced Economies"
,2010,"94,47","93,3",19,"Advanced Economies"
,,,,,
,,,,,
,,,,,
,,,,,
Netherlands,1820,"55,8",0,"0,01","Advanced Economies"
,1825,"58,01",0,"0,01","Advanced Economies"
,1830,"60,19",0,"0,01","Advanced Economies"
,1835,"62,34",0,"0,02","Advanced Economies"
,1840,"64,44",0,"0,02","Advanced Economies"
,1845,"66,49",0,"0,02","Advanced Economies"
,1850,"67,93",0,"0,03","Advanced Economies"
,1855,"69,36",0,"0,03","Advanced Economies"
