country,year,primary,secondary,tertiary,region
belgium,1940,87,6,0,"advanced economies"
belgium,1945,89,9,0,"advanced economies"
belgium,1950,91,22,0,"advanced economies"
belgium,1955,87,31,2,"advanced economies"
belgium,1960,100,62,4,"advanced economies"
belgium,1965,100,66,9,"advanced economies"
belgium,1970,97,72,13,"advanced economies"
belgium,1975,97,75,18,"advanced economies"
belgium,1980,98,80,23,"advanced economies"
belgium,1985,95,89,30,"advanced economies"
belgium,1990,97,88,39,"advanced economies"
belgium,1995,85,86,54,"advanced economies"
belgium,2000,97,100,61,"advanced economies"
belgium,2005,97,100,68,"advanced economies"
belgium,2010,100,98,75,"advanced economies"
canada,1820,36,0,0,"advanced economies"
canada,1825,39,0,0,"advanced economies"
canada,1830,43,0,0,"advanced economies"
canada,1835,46,0,0,"advanced economies"
canada,1840,50,0,0,"advanced economies"
canada,1845,53,0,0,"advanced economies"
canada,1850,57,0,0,"advanced economies"
canada,1855,60,0,0,"advanced economies"
canada,1860,64,0,0,"advanced economies"
canada,1865,67,0,0,"advanced economies"
canada,1870,70,0,0,"advanced economies"
canada,1875,73,1,0,"advanced economies"
canada,1880,76,1,0,"advanced economies"
canada,1885,78,1,0,"advanced economies"
canada,1890,62,2,0,"advanced economies"
canada,1895,45,3,0,"advanced economies"
canada,1900,42,4,0,"advanced economies"
canada,1905,47,5,0,"advanced economies"
canada,1910,67,6,1,"advanced economies"
canada,1915,67,5,1,"advanced economies"
canada,1920,70,4,2,"advanced economies"
canada,1925,74,11,3,"advanced economies"
canada,1930,77,19,5,"advanced economies"
canada,1935,80,20,5,"advanced economies"
canada,1940,84,22,4,"advanced economies"
canada,1945,87,24,7,"advanced economies"
canada,1950,91,21,2,"advanced economies"
canada,1955,94,28,2,"advanced economies"
canada,1960,72,39,12,"advanced economies"
canada,1965,69,45,20,"advanced economies"
canada,1970,93,58,27,"advanced economies"
canada,1975,92,82,35,"advanced economies"
canada,1980,93,80,38,"advanced economies"
canada,1985,97,92,77,"advanced economies"
canada,1990,98,93,100,"advanced economies"
canada,1995,93,93,98,"advanced economies"
canada,2000,100,95,68,"advanced economies"
canada,2005,100,96,62,"advanced economies"
canada,2010,100,97,69,"advanced economies"
denmark,1820,65,0,0,"advanced economies"
denmark,1825,67,0,0,"advanced economies"
denmark,1830,68,0,0,"advanced economies"
denmark,1835,70,0,0,"advanced economies"
denmark,1840,71,0,0,"advanced economies"
denmark,1845,73,0,0,"advanced economies"
denmark,1850,74,0,0,"advanced economies"
denmark,1855,76,0,0,"advanced economies"
denmark,1860,77,0,0,"advanced economies"
denmark,1865,78,0,0,"advanced economies"
denmark,1870,80,0,0,"advanced economies"
denmark,1875,81,0,0,"advanced economies"
denmark,1880,82,0,0,"advanced economies"
denmark,1885,83,0,0,"advanced economies"
denmark,1890,85,0,0,"advanced economies"
denmark,1895,86,0,0,"advanced economies"
denmark,1900,87,0,0,"advanced economies"
denmark,1905,88,0,0,"advanced economies"
denmark,1910,90,0,0,"advanced economies"
denmark,1915,91,0,0,"advanced economies"
denmark,1920,92,1,0,"advanced economies"
denmark,1925,93,1,0,"advanced economies"
denmark,1930,95,1,0,"advanced economies"
denmark,1935,96,2,0,"advanced economies"
denmark,1940,97,3,1,"advanced economies"
denmark,1945,98,13,1,"advanced economies"
denmark,1950,100,23,1,"advanced economies"
denmark,1955,100,23,1,"advanced economies"
denmark,1960,100,35,6,"advanced economies"
denmark,1965,100,44,9,"advanced economies"
denmark,1970,97,54,13,"advanced economies"
denmark,1975,100,62,26,"advanced economies"
denmark,1980,95,83,28,"advanced economies"
denmark,1985,98,84,29,"advanced economies"
denmark,1990,96,88,39,"advanced economies"
denmark,1995,99,97,51,"advanced economies"
denmark,2000,100,100,66,"advanced economies"
denmark,2005,99,100,93,"advanced economies"
denmark,2010,100,100,87,"advanced economies"
finland,1820,1,0,0,"advanced economies"
finland,1825,1,0,0,"advanced economies"
finland,1830,1,0,0,"advanced economies"
finland,1835,2,0,0,"advanced economies"
finland,1840,2,0,0,"advanced economies"
finland,1845,3,0,0,"advanced economies"
finland,1850,4,0,0,"advanced economies"
finland,1855,4,0,0,"advanced economies"
finland,1860,6,0,0,"advanced economies"
finland,1865,7,0,0,"advanced economies"
finland,1870,8,0,0,"advanced economies"
finland,1875,10,0,0,"advanced economies"
finland,1880,17,0,0,"advanced economies"
finland,1885,24,0,0,"advanced economies"
finland,1890,21,0,0,"advanced economies"
finland,1895,29,1,0,"advanced economies"
finland,1900,37,1,0,"advanced economies"
finland,1905,46,1,0,"advanced economies"
finland,1910,50,2,0,"advanced economies"
finland,1915,56,3,0,"advanced economies"
finland,1920,63,4,0,"advanced economies"
finland,1925,69,5,0,"advanced economies"
finland,1930,75,6,0,"advanced economies"
finland,1935,81,8,0,"advanced economies"
finland,1940,87,10,0,"advanced economies"
finland,1945,93,13,1,"advanced economies"
finland,1950,100,16,1,"advanced economies"
finland,1955,100,22,1,"advanced economies"
finland,1960,95,58,6,"advanced economies"
finland,1965,100,58,11,"advanced economies"
finland,1970,79,78,13,"advanced economies"
finland,1975,88,63,18,"advanced economies"
finland,1980,83,70,31,"advanced economies"
finland,1985,100,81,34,"advanced economies"
finland,1990,98,94,52,"advanced economies"
finland,1995,100,94,75,"advanced economies"
finland,2000,100,100,90,"advanced economies"
finland,2005,98,100,100,"advanced economies"
finland,2010,99,100,100,"advanced economies"
france,1820,11,0,0,"advanced economies"
france,1825,12,0,0,"advanced economies"
france,1830,14,0,0,"advanced economies"
france,1835,15,0,0,"advanced economies"
france,1840,17,0,0,"advanced economies"
france,1845,19,0,0,"advanced economies"
france,1850,22,0,0,"advanced economies"
france,1855,24,0,0,"advanced economies"
france,1860,27,0,0,"advanced economies"
france,1865,29,0,0,"advanced economies"
france,1870,64,0,0,"advanced economies"
france,1875,100,0,0,"advanced economies"
france,1880,100,0,0,"advanced economies"
france,1885,100,0,0,"advanced economies"
france,1890,100,0,0,"advanced economies"
france,1895,100,0,0,"advanced economies"
france,1900,100,0,0,"advanced economies"
france,1905,100,0,0,"advanced economies"
france,1910,100,0,0,"advanced economies"
france,1915,100,0,0,"advanced economies"
france,1920,100,1,0,"advanced economies"
france,1925,100,2,1,"advanced economies"
france,1930,100,3,1,"advanced economies"
france,1935,100,5,1,"advanced economies"
france,1940,100,7,2,"advanced economies"
france,1945,100,11,3,"advanced economies"
france,1950,100,16,1,"advanced economies"
france,1955,100,20,2,"advanced economies"
france,1960,97,45,6,"advanced economies"
france,1965,98,53,12,"advanced economies"
france,1970,98,70,14,"advanced economies"
france,1975,94,77,23,"advanced economies"
france,1980,100,81,26,"advanced economies"
france,1985,98,87,30,"advanced economies"
france,1990,100,85,42,"advanced economies"
france,1995,99,98,57,"advanced economies"
france,2000,99,97,63,"advanced economies"
france,2005,100,100,60,"advanced economies"
france,2010,100,100,62,"advanced economies"
germany,1820,20,0,0,"advanced economies"
germany,1825,23,0,0,"advanced economies"
germany,1830,25,0,0,"advanced economies"
germany,1835,28,0,0,"advanced economies"
germany,1840,31,0,0,"advanced economies"
germany,1845,34,0,0,"advanced economies"
germany,1850,37,0,0,"advanced economies"
germany,1855,40,0,0,"advanced economies"
germany,1860,44,0,0,"advanced economies"
germany,1865,47,0,0,"advanced economies"
germany,1870,51,0,0,"advanced economies"
germany,1875,54,0,0,"advanced economies"
germany,1880,54,0,0,"advanced economies"
germany,1885,60,0,0,"advanced economies"
germany,1890,59,0,0,"advanced economies"
germany,1895,58,0,0,"advanced economies"
germany,1900,56,0,0,"advanced economies"
germany,1905,59,0,0,"advanced economies"
germany,1910,88,0,0,"advanced economies"
germany,1915,90,0,0,"advanced economies"
germany,1920,91,1,0,"advanced economies"
germany,1925,92,2,0,"advanced economies"
germany,1930,94,5,0,"advanced economies"
germany,1935,95,8,0,"advanced economies"
germany,1940,96,13,0,"advanced economies"
germany,1945,98,28,0,"advanced economies"
germany,1950,99,43,0,"advanced economies"
germany,1955,78,72,0,"advanced economies"
germany,1960,100,40,2,"advanced economies"
germany,1965,100,43,4,"advanced economies"
germany,1970,83,28,7,"advanced economies"
germany,1975,92,33,19,"advanced economies"
germany,1980,83,38,22,"advanced economies"
germany,1985,82,72,25,"advanced economies"
germany,1990,90,85,27,"advanced economies"
germany,1995,100,98,41,"advanced economies"
germany,2000,100,93,47,"advanced economies"
germany,2005,100,96,53,"advanced economies"
germany,2010,100,100,59,"advanced economies"
greece,1820,0,0,0,"advanced economies"
greece,1825,0,0,0,"advanced economies"
greece,1830,1,0,0,"advanced economies"
greece,1835,1,0,0,"advanced economies"
greece,1840,1,0,0,"advanced economies"
greece,1845,2,0,0,"advanced economies"
greece,1850,2,0,0,"advanced economies"
greece,1855,3,0,0,"advanced economies"
greece,1860,4,0,0,"advanced economies"
greece,1865,5,0,0,"advanced economies"
greece,1870,6,0,0,"advanced economies"
greece,1875,7,0,0,"advanced economies"
greece,1880,8,0,0,"advanced economies"
greece,1885,8,0,0,"advanced economies"
greece,1890,9,0,0,"advanced economies"
greece,1895,13,0,0,"advanced economies"
greece,1900,17,0,0,"advanced economies"
greece,1905,29,0,0,"advanced economies"
greece,1910,33,0,0,"advanced economies"
greece,1915,41,1,0,"advanced economies"
greece,1920,49,1,0,"advanced economies"
greece,1925,57,2,0,"advanced economies"
greece,1930,65,3,0,"advanced economies"
greece,1935,73,4,0,"advanced economies"
greece,1940,81,6,0,"advanced economies"
greece,1945,89,9,0,"advanced economies"
greece,1950,97,12,1,"advanced economies"
greece,1955,78,14,1,"advanced economies"
greece,1960,97,25,1,"advanced economies"
greece,1965,99,37,6,"advanced economies"
greece,1970,97,48,8,"advanced economies"
greece,1975,97,59,14,"advanced economies"
greece,1980,97,67,14,"advanced economies"
greece,1985,100,80,24,"advanced economies"
greece,1990,94,88,25,"advanced economies"
greece,1995,94,92,42,"advanced economies"
greece,2000,96,89,53,"advanced economies"
greece,2005,100,99,97,"advanced economies"
greece,2010,100,100,97,"advanced economies"
iceland,1820,0,0,0,"advanced economies"
iceland,1825,0,0,0,"advanced economies"
iceland,1830,0,0,0,"advanced economies"
iceland,1835,0,0,0,"advanced economies"
iceland,1840,1,0,0,"advanced economies"
iceland,1845,1,0,0,"advanced economies"
iceland,1850,1,0,0,"advanced economies"
iceland,1855,2,0,0,"advanced economies"
iceland,1860,2,0,0,"advanced economies"
iceland,1865,3,0,0,"advanced economies"
iceland,1870,4,0,0,"advanced economies"
iceland,1875,5,0,0,"advanced economies"
iceland,1880,6,0,0,"advanced economies"
iceland,1885,8,0,0,"advanced economies"
iceland,1890,10,0,0,"advanced economies"
iceland,1895,12,0,0,"advanced economies"
iceland,1900,15,1,0,"advanced economies"
iceland,1905,19,3,0,"advanced economies"
iceland,1910,23,4,0,"advanced economies"
iceland,1915,28,5,0,"advanced economies"
iceland,1920,33,6,0,"advanced economies"
iceland,1925,39,7,0,"advanced economies"
iceland,1930,45,9,0,"advanced economies"
iceland,1935,51,11,0,"advanced economies"
iceland,1940,57,14,0,"advanced economies"
iceland,1945,63,17,0,"advanced economies"
iceland,1950,68,21,0,"advanced economies"
iceland,1955,74,25,1,"advanced economies"
iceland,1960,74,47,3,"advanced economies"
iceland,1965,74,57,4,"advanced economies"
iceland,1970,74,69,5,"advanced economies"
iceland,1975,71,65,11,"advanced economies"
iceland,1980,71,71,19,"advanced economies"
iceland,1985,71,77,23,"advanced economies"
iceland,1990,90,77,28,"advanced economies"
iceland,1995,69,88,41,"advanced economies"
iceland,2000,100,86,57,"advanced economies"
iceland,2005,97,90,93,"advanced economies"
iceland,2010,99,90,100,"advanced economies"
ireland,1820,11,0,0,"advanced economies"
ireland,1825,13,0,0,"advanced economies"
ireland,1830,14,0,0,"advanced economies"
ireland,1835,16,0,0,"advanced economies"
ireland,1840,18,0,0,"advanced economies"
ireland,1845,20,0,0,"advanced economies"
ireland,1850,22,0,0,"advanced economies"
ireland,1855,24,0,0,"advanced economies"
ireland,1860,26,0,0,"advanced economies"
ireland,1865,29,0,0,"advanced economies"
ireland,1870,33,0,0,"advanced economies"
ireland,1875,37,0,0,"advanced economies"
ireland,1880,41,0,0,"advanced economies"
ireland,1885,46,0,0,"advanced economies"
ireland,1890,50,0,0,"advanced economies"
ireland,1895,54,0,0,"advanced economies"
ireland,1900,58,0,0,"advanced economies"
ireland,1905,62,1,0,"advanced economies"
ireland,1910,66,1,0,"advanced economies"
ireland,1915,70,2,0,"advanced economies"
ireland,1920,75,2,0,"advanced economies"
ireland,1925,79,3,0,"advanced economies"
ireland,1930,83,4,0,"advanced economies"
ireland,1935,87,7,0,"advanced economies"
ireland,1940,91,5,0,"advanced economies"
ireland,1945,95,9,1,"advanced economies"
ireland,1950,100,14,0,"advanced economies"
ireland,1955,100,17,0,"advanced economies"
ireland,1960,96,30,5,"advanced economies"
ireland,1965,92,48,7,"advanced economies"
ireland,1970,92,66,9,"advanced economies"
ireland,1975,91,77,13,"advanced economies"
ireland,1980,91,80,16,"advanced economies"
ireland,1985,88,80,19,"advanced economies"
ireland,1990,91,82,27,"advanced economies"
ireland,1995,91,92,40,"advanced economies"
ireland,2000,99,100,55,"advanced economies"
ireland,2005,100,100,63,"advanced economies"
ireland,2010,100,100,73,"advanced economies"
italy,1820,10,0,0,"advanced economies"
italy,1825,11,0,0,"advanced economies"
italy,1830,13,0,0,"advanced economies"
italy,1835,15,0,0,"advanced economies"
italy,1840,17,0,0,"advanced economies"
italy,1845,20,0,0,"advanced economies"
italy,1850,23,0,0,"advanced economies"
italy,1855,26,0,0,"advanced economies"
italy,1860,29,0,0,"advanced economies"
italy,1865,33,0,0,"advanced economies"
italy,1870,43,0,0,"advanced economies"
italy,1875,52,0,0,"advanced economies"
italy,1880,57,0,0,"advanced economies"
italy,1885,59,0,0,"advanced economies"
italy,1890,61,0,0,"advanced economies"
italy,1895,63,0,0,"advanced economies"
italy,1900,66,0,0,"advanced economies"
italy,1905,69,0,0,"advanced economies"
italy,1910,76,0,0,"advanced economies"
italy,1915,77,2,0,"advanced economies"
italy,1920,87,3,0,"advanced economies"
italy,1925,75,1,0,"advanced economies"
italy,1930,94,2,0,"advanced economies"
italy,1935,99,4,0,"advanced economies"
italy,1940,100,6,0,"advanced economies"
italy,1945,91,8,1,"advanced economies"
italy,1950,94,8,0,"advanced economies"
italy,1955,90,11,0,"advanced economies"
italy,1960,100,28,3,"advanced economies"
italy,1965,99,40,7,"advanced economies"
italy,1970,100,53,12,"advanced economies"
italy,1975,99,64,19,"advanced economies"
italy,1980,97,69,23,"advanced economies"
italy,1985,98,71,23,"advanced economies"
italy,1990,92,73,29,"advanced economies"
italy,1995,98,81,44,"advanced economies"
italy,2000,100,88,55,"advanced economies"
italy,2005,100,96,74,"advanced economies"
italy,2010,100,96,76,"advanced economies"
japan,1820,2,0,0,"advanced economies"
japan,1825,3,0,0,"advanced economies"
japan,1830,4,0,0,"advanced economies"
japan,1835,5,0,0,"advanced economies"
japan,1840,7,0,0,"advanced economies"
japan,1845,8,0,0,"advanced economies"
japan,1850,11,0,0,"advanced economies"
japan,1855,13,0,0,"advanced economies"
japan,1860,17,0,0,"advanced economies"
japan,1865,20,0,0,"advanced economies"
japan,1870,25,0,0,"advanced economies"
japan,1875,30,0,0,"advanced economies"
japan,1880,35,0,0,"advanced economies"
japan,1885,57,0,0,"advanced economies"
japan,1890,51,0,0,"advanced economies"
japan,1895,70,0,0,"advanced economies"
japan,1900,70,1,0,"advanced economies"
japan,1905,81,4,0,"advanced economies"
japan,1910,98,6,0,"advanced economies"
japan,1915,100,8,0,"advanced economies"
japan,1920,100,12,0,"advanced economies"
japan,1925,100,19,0,"advanced economies"
japan,1930,100,21,0,"advanced economies"
japan,1935,100,24,0,"advanced economies"
japan,1940,100,33,0,"advanced economies"
japan,1945,100,29,0,"advanced economies"
japan,1950,99,53,0,"advanced economies"
japan,1955,100,61,1,"advanced economies"
japan,1960,100,75,3,"advanced economies"
japan,1965,100,81,6,"advanced economies"
japan,1970,99,85,9,"advanced economies"
japan,1975,100,91,16,"advanced economies"
japan,1980,100,94,20,"advanced economies"
japan,1985,100,97,19,"advanced economies"
japan,1990,100,98,22,"advanced economies"
japan,1995,100,100,36,"advanced economies"
japan,2000,100,100,45,"advanced economies"
japan,2005,100,99,52,"advanced economies"
japan,2010,100,99,55,"advanced economies"
luxembourg,1820,0,0,0,"advanced economies"
luxembourg,1825,0,0,0,"advanced economies"
luxembourg,1830,0,0,0,"advanced economies"
luxembourg,1835,0,0,0,"advanced economies"
luxembourg,1840,0,0,0,"advanced economies"
luxembourg,1845,0,0,0,"advanced economies"
luxembourg,1850,0,0,0,"advanced economies"
luxembourg,1855,1,0,0,"advanced economies"
luxembourg,1860,1,0,0,"advanced economies"
luxembourg,1865,1,0,0,"advanced economies"
luxembourg,1870,2,0,0,"advanced economies"
luxembourg,1875,3,0,0,"advanced economies"
luxembourg,1880,4,0,0,"advanced economies"
luxembourg,1885,4,0,0,"advanced economies"
luxembourg,1890,5,0,0,"advanced economies"
luxembourg,1895,7,0,0,"advanced economies"
luxembourg,1900,9,0,0,"advanced economies"
luxembourg,1905,11,0,0,"advanced economies"
luxembourg,1910,13,0,0,"advanced economies"
luxembourg,1915,15,0,0,"advanced economies"
luxembourg,1920,17,0,0,"advanced economies"
luxembourg,1925,19,0,0,"advanced economies"
luxembourg,1930,35,0,0,"advanced economies"
luxembourg,1935,51,0,0,"advanced economies"
luxembourg,1940,67,0,0,"advanced economies"
luxembourg,1945,83,4,0,"advanced economies"
luxembourg,1950,99,7,0,"advanced economies"
luxembourg,1955,94,8,0,"advanced economies"
luxembourg,1960,97,20,0,"advanced economies"
luxembourg,1965,100,33,0,"advanced economies"
luxembourg,1970,96,46,1,"advanced economies"
luxembourg,1975,92,56,1,"advanced economies"
luxembourg,1980,93,59,1,"advanced economies"
luxembourg,1985,94,66,2,"advanced economies"
luxembourg,1990,87,66,5,"advanced economies"
luxembourg,1995,87,66,8,"advanced economies"
luxembourg,2000,97,91,11,"advanced economies"
luxembourg,2005,97,87,11,"advanced economies"
luxembourg,2010,94,93,19,"advanced economies"
netherlands,1820,55,0,0,"advanced economies"
netherlands,1825,58,0,0,"advanced economies"
netherlands,1830,60,0,0,"advanced economies"
netherlands,1835,62,0,0,"advanced economies"
netherlands,1840,64,0,0,"advanced economies"
netherlands,1845,66,0,0,"advanced economies"
netherlands,1850,67,0,0,"advanced economies"
netherlands,1855,69,0,0,"advanced economies"
netherlands,1860,70,0,0,"advanced economies"
netherlands,1865,72,0,0,"advanced economies"
netherlands,1870,73,0,0,"advanced economies"
netherlands,1875,75,0,0,"advanced economies"
netherlands,1880,76,0,0,"advanced economies"
netherlands,1885,77,0,0,"advanced economies"
netherlands,1890,82,0,0,"advanced economies"
netherlands,1895,80,0,0,"advanced economies"
netherlands,1900,90,0,0,"advanced economies"
netherlands,1905,86,0,0,"advanced economies"
netherlands,1910,86,0,0,"advanced economies"
netherlands,1915,87,0,0,"advanced economies"
netherlands,1920,87,2,0,"advanced economies"
netherlands,1925,87,0,0,"advanced economies"
netherlands,1930,87,13,1,"advanced economies"
netherlands,1935,88,16,1,"advanced economies"
netherlands,1940,88,17,0,"advanced economies"
netherlands,1945,88,19,1,"advanced economies"
netherlands,1950,88,28,1,"advanced economies"
netherlands,1955,86,37,2,"advanced economies"
netherlands,1960,95,55,6,"advanced economies"
netherlands,1965,94,51,8,"advanced economies"
netherlands,1970,94,65,11,"advanced economies"
netherlands,1975,92,79,17,"advanced economies"
netherlands,1980,94,82,24,"advanced economies"
netherlands,1985,100,87,26,"advanced economies"
netherlands,1990,97,79,36,"advanced economies"
netherlands,1995,99,91,47,"advanced economies"
netherlands,2000,99,100,53,"advanced economies"
netherlands,2005,97,100,61,"advanced economies"
netherlands,2010,97,100,68,"advanced economies"
norway,1820,51,0,0,"advanced economies"
norway,1825,53,0,0,"advanced economies"
norway,1830,55,0,0,"advanced economies"
norway,1835,57,0,0,"advanced economies"
norway,1840,59,0,0,"advanced economies"
norway,1845,61,0,0,"advanced economies"
norway,1850,64,0,0,"advanced economies"
norway,1855,66,0,0,"advanced economies"
norway,1860,68,0,0,"advanced economies"
norway,1865,69,0,0,"advanced economies"
norway,1870,71,0,0,"advanced economies"
norway,1875,73,0,0,"advanced economies"
norway,1880,75,0,0,"advanced economies"
norway,1885,77,0,0,"advanced economies"
norway,1890,78,0,0,"advanced economies"
norway,1895,80,0,0,"advanced economies"
norway,1900,82,0,0,"advanced economies"
norway,1905,84,1,0,"advanced economies"
norway,1910,85,1,0,"advanced economies"
norway,1915,87,1,0,"advanced economies"
norway,1920,89,2,0,"advanced economies"
norway,1925,91,2,0,"advanced economies"
norway,1930,92,3,0,"advanced economies"
norway,1935,94,4,0,"advanced economies"
norway,1940,96,5,0,"advanced economies"
norway,1945,98,7,0,"advanced economies"
norway,1950,100,14,0,"advanced economies"
norway,1955,100,16,0,"advanced economies"
norway,1960,99,53,4,"advanced economies"
norway,1965,95,59,7,"advanced economies"
norway,1970,93,74,10,"advanced economies"
norway,1975,100,79,17,"advanced economies"
norway,1980,99,86,25,"advanced economies"
norway,1985,97,89,31,"advanced economies"
norway,1990,99,87,46,"advanced economies"
norway,1995,99,95,66,"advanced economies"
norway,2000,100,95,82,"advanced economies"
norway,2005,99,97,95,"advanced economies"
norway,2010,99,96,90,"advanced economies"
portugal,1820,0,0,0,"advanced economies"
portugal,1825,0,0,0,"advanced economies"
portugal,1830,0,0,0,"advanced economies"
portugal,1835,0,0,0,"advanced economies"
portugal,1840,1,0,0,"advanced economies"
portugal,1845,1,0,0,"advanced economies"
portugal,1850,1,0,0,"advanced economies"
portugal,1855,2,0,0,"advanced economies"
portugal,1860,2,0,0,"advanced economies"
portugal,1865,3,0,0,"advanced economies"
portugal,1870,7,0,0,"advanced economies"
portugal,1875,10,0,0,"advanced economies"
portugal,1880,13,0,0,"advanced economies"
portugal,1885,17,0,0,"advanced economies"
portugal,1890,20,0,0,"advanced economies"
portugal,1895,24,0,0,"advanced economies"
portugal,1900,29,0,0,"advanced economies"
portugal,1905,33,0,0,"advanced economies"
portugal,1910,37,0,0,"advanced economies"
portugal,1915,41,0,0,"advanced economies"
portugal,1920,45,0,0,"advanced economies"
portugal,1925,49,0,0,"advanced economies"
portugal,1930,54,1,0,"advanced economies"
portugal,1935,58,2,0,"advanced economies"
portugal,1940,62,3,0,"advanced economies"
portugal,1945,66,3,0,"advanced economies"
portugal,1950,70,4,0,"advanced economies"
portugal,1955,86,6,1,"advanced economies"
portugal,1960,100,12,1,"advanced economies"
portugal,1965,77,18,3,"advanced economies"
portugal,1970,82,28,6,"advanced economies"
portugal,1975,88,29,9,"advanced economies"
portugal,1980,97,24,10,"advanced economies"
portugal,1985,100,41,13,"advanced economies"
portugal,1990,98,50,26,"advanced economies"
portugal,1995,100,86,42,"advanced economies"
portugal,2000,100,100,55,"advanced economies"
portugal,2005,100,95,63,"advanced economies"
portugal,2010,100,100,72,"advanced economies"
spain,1820,3,0,0,"advanced economies"
spain,1825,4,0,0,"advanced economies"
spain,1830,5,0,0,"advanced economies"
spain,1835,6,0,0,"advanced economies"
spain,1840,8,0,0,"advanced economies"
spain,1845,10,0,0,"advanced economies"
spain,1850,13,0,0,"advanced economies"
spain,1855,15,0,0,"advanced economies"
spain,1860,19,0,0,"advanced economies"
spain,1865,23,0,0,"advanced economies"
spain,1870,27,0,0,"advanced economies"
spain,1875,32,0,0,"advanced economies"
spain,1880,37,0,0,"advanced economies"
spain,1885,43,0,0,"advanced economies"
spain,1890,43,0,0,"advanced economies"
spain,1895,43,0,0,"advanced economies"
spain,1900,43,0,0,"advanced economies"
